,Unnamed: 0,Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,SP500_Sharpe,SP500_Sortino,SP500_Return,Random_Sharpe,Random_Sortino,Random_Return,Scaled,k,KMeans_Sharpe,KMeans_Sortino,KMeans_Return
719,719,2015-11-09,2020-11-09,2020-11-10,2021-11-10,0.1090728351890548,0.1594314466736896,0.2263362771136158,0.140221249473795,0.1932111610241285,0.3262380451312529,0.123453265979441,0.1814242777165521,0.3250866372822361,True,30,0.10329281751333719,0.13684665122999357,0.3379510585828934
720,720,2015-11-10,2020-11-10,2020-11-11,2021-11-11,0.1070441905242299,0.1572362568718439,0.2219090252742119,0.1370837734604696,0.1886531289271992,0.3174335729420042,0.1252081555950331,0.1850314095220103,0.3244612996724457,True,30,0.11532686743721444,0.15932168886264783,0.38996082709312685
721,721,2015-11-11,2020-11-11,2020-11-12,2021-11-12,0.1160001214296037,0.1696951233555239,0.2414063841695173,0.1470528485877781,0.2016094592060665,0.3426775550594405,0.1330750081738586,0.1934065723716182,0.3437510201649832,True,30,0.11529190514809112,0.14815459984055,0.36846154418429866
722,722,2015-11-12,2020-11-12,2020-11-13,2021-11-15,0.1091363511238108,0.1586406372551294,0.224141151157277,0.1399048449918579,0.1905605268130379,0.3209742381509035,0.1245264568666527,0.1825904945518759,0.3232386151894911,True,30,0.11125351083988949,0.14233112627082092,0.3530692246501672
723,723,2015-11-13,2020-11-13,2020-11-16,2021-11-16,0.1022641600302578,0.1474063217534793,0.2067341718496539,0.1366941530510614,0.1856073855956606,0.3114508041849604,0.1248502814892938,0.1797085484212519,0.3221887812849975,True,30,0.12850034994471163,0.17833085725933695,0.44135353831997315
724,724,2015-11-16,2020-11-16,2020-11-17,2021-11-17,0.1021066292933616,0.1471964717957457,0.206414028391886,0.1368631953563835,0.1857984789284682,0.3118518059834795,0.1220469206314984,0.1788902601607055,0.3184924962466449,True,30,0.15515826982737507,0.21816879131882314,0.5621757261811591
725,725,2015-11-17,2020-11-17,2020-11-18,2021-11-18,0.1081358494798104,0.1556401202053682,0.2185079672735811,0.1411152532914833,0.1912126815685174,0.3216318499012305,0.128712073589983,0.1875451708205641,0.3276009664118182,True,30,0.15651207999848887,0.22187516218739084,0.5619050457901913
726,726,2015-11-18,2020-11-18,2020-11-19,2021-11-19,0.1029198115655076,0.1490918651998954,0.2075332283036424,0.1387471745000978,0.1884326689667058,0.3154752608420992,0.1245608082028831,0.1822440175761699,0.3143384607449491,True,30,0.16355100476559292,0.23113900253221797,0.5274172388925031
727,727,2015-11-19,2020-11-19,2020-11-20,2021-11-22,0.107543036058364,0.1547835176824057,0.2171911689738076,0.1388210545653402,0.1885209215256995,0.3156479740487431,0.1226950076311023,0.1782222843690209,0.3124863548919517,True,30,0.16001430257914112,0.23538852436426522,0.5180876488577828
728,728,2015-11-20,2020-11-20,2020-11-23,2021-11-23,0.1047690431419803,0.1503010116025841,0.2102826728481069,0.1364368991547375,0.1850723265011628,0.309062223293063,0.1179303043748504,0.1714916031488171,0.2986062297369448,True,30,0.15243761687109755,0.22539188564565288,0.488623421844579
729,729,2015-11-23,2020-11-23,2020-11-24,2021-11-24,0.0970292436039929,0.138029144640753,0.1916425691520394,0.1326671642532549,0.1795298813093311,0.2985468623503476,0.122815778289605,0.1781295752702945,0.3138083549846486,True,30,0.15296363745757854,0.2262564719343857,0.490896988522107
730,730,2015-11-24,2020-11-24,2020-11-25,2021-11-26,0.0839886020128188,0.1144226544529646,0.168277649029517,0.1213415225309009,0.1610542594641102,0.2749100829486312,0.1098488714154223,0.1579129306572585,0.280042027407277,True,30,0.1331134632723378,0.17713469724154965,0.432731719424875
731,731,2015-11-25,2020-11-25,2020-11-27,2021-11-29,0.0868337037373617,0.118460718815132,0.174707715610487,0.1247471044499479,0.1661335235833762,0.2847130256859683,0.112263432079602,0.1611612576016456,0.2848608467754994,True,30,0.13569841285230458,0.18119654634235163,0.44459420774257963
732,732,2015-11-27,2020-11-27,2020-11-30,2021-11-30,0.0808232648390217,0.1087082877599282,0.1634716715352055,0.1133025338765256,0.147703863464694,0.2605701114119705,0.1000185472226357,0.1410006680713123,0.2558355192024356,True,30,0.10813164323030755,0.14554972157598822,0.3528619942949591
733,733,2015-11-30,2020-11-30,2020-12-01,2021-12-01,0.0698871529994593,0.0941528213857253,0.1407634929151549,0.1039056985251108,0.1360372528991303,0.2371184798728297,0.0900764791439393,0.1268872417900782,0.2268595556524178,True,30,0.11798310522095459,0.15994096067338254,0.4305176395435718
734,734,2015-12-01,2020-12-01,2020-12-02,2021-12-02,0.0775420378242092,0.105583656436366,0.1591498317048462,0.1151069820216717,0.151881007988194,0.26944473515924,0.1063721468614788,0.1509964669562686,0.2783716287527109,True,30,0.11923947191896989,0.1616471931483524,0.3946780211892453
735,735,2015-12-02,2020-12-02,2020-12-03,2021-12-03,0.0751319433822715,0.1025169892309086,0.1538415919194984,0.1086705546708717,0.1442700859042849,0.2533540064621185,0.0927472987123957,0.1330918888478084,0.2341010222088505,True,30,0.09178287759739429,0.12686378020619887,0.3408543073085417
736,736,2015-12-03,2020-12-03,2020-12-04,2021-12-06,0.0797953521170627,0.1098749184735597,0.1657531414192409,0.1089400947901995,0.1446826619209761,0.2541636804157798,0.0981908876391084,0.1390554901231872,0.2538198566358096,True,30,0.11223534325686348,0.14688854091116518,0.37103287700331944
737,737,2015-12-04,2020-12-04,2020-12-07,2021-12-07,0.0891412591626246,0.1228042348669319,0.1878842785779851,0.1182441574512508,0.1583157815193115,0.2820023092392661,0.1024341395621576,0.1451388985649306,0.2734434185383501,True,30,0.10822844962221406,0.14574563162744045,0.3672115368872359
