Start,End,Buy,Sell,DJI_Sharpe,DJI_Sortino,DJI_Return,DJI_Volatility,SP500_Sharpe,SP500_Sortino,SP500_Return,SP500_Volatility,Random_Sharpe,Random_Sortino,Random_Return,Random_Volatility
2015-12-14,2020-12-14,2020-12-15,2021-12-15,0.0897923012261328,0.12327171736535167,0.18967714947445186,0.0076756486552335265,0.11750706772543423,0.1584475901997984,0.2832522385458396,0.008422244725124031,0.10835604784313987,0.15676039748162038,0.2912652966426914,0.009397516135850555
2015-12-15,2020-12-15,2020-12-16,2021-12-16,0.09013785399526215,0.12362747408135867,0.19045562429578258,0.007675021483485646,0.11359755346840636,0.15412756289761315,0.27332165289643573,0.008440719480529484,0.09892420417402903,0.14263836870153687,0.26074223373371574,0.009335233775523755
2015-12-16,2020-12-16,2020-12-17,2021-12-17,0.07926933055193401,0.10873449129727768,0.16704651691150524,0.00773314016930354,0.10463311086313712,0.14244593611999595,0.2490039729511344,0.008432579559588933,0.09338581321410759,0.13506041172101063,0.24930955167383498,0.009479650606848345
2015-12-17,2020-12-17,2020-12-18,2021-12-20,0.07469356068507478,0.10239682704106436,0.15749698058605172,0.00777036757838506,0.09785875569654807,0.13387263812966518,0.23244769199149962,0.00847521252359041,0.08730803684178637,0.1271792302784496,0.23202934558822036,0.009562950478129417
2015-12-18,2020-12-18,2020-12-21,2021-12-21,0.08156359656909726,0.11267479065290761,0.17461515619532045,0.007830123630229656,0.10864093696309943,0.14917035970208783,0.26357690421949265,0.008545205892172914,0.09600382848384736,0.13865422343446016,0.25863741770340026,0.00953572094754967
2015-12-21,2020-12-21,2020-12-22,2021-12-22,0.0886880366734569,0.12193588447739745,0.19118052314229994,0.00782772544938704,0.11316036772379581,0.155528423311573,0.27652089783057504,0.008561326826645678,0.09914669592254194,0.14464730208767698,0.2662055982048961,0.009488240463522715
2015-12-22,2020-12-22,2020-12-23,2021-12-23,0.08950310295975814,0.12310966567664632,0.19318822909164007,0.007831106904152712,0.11568673634101494,0.15909458502493865,0.28368680704138727,0.008566382969213833,0.10172048819392965,0.14728200151869364,0.27592394636676426,0.009613852235885467
2015-12-23,2020-12-23,2020-12-24,2021-12-27,0.0930234954430816,0.12827912833249774,0.20207073537997144,0.007851134879946904,0.11963531587790406,0.1651953886933207,0.29603926902086136,0.008601301610097692,0.10847328876064816,0.15815162616927136,0.29725017563284667,0.009573651952066326
2015-12-24,2020-12-24,2020-12-28,2021-12-28,0.09104724001445678,0.12542195007937595,0.19715320386619423,0.00784288517140883,0.11944413636970695,0.16493393974382883,0.2955074765989192,0.008601433886427224,0.11018204453952052,0.16129015334275804,0.3018689161084828,0.009585878819407341
2015-12-28,2020-12-28,2020-12-29,2021-12-29,0.09345787594152224,0.1283771871028743,0.20282917767173197,0.007841425547686243,0.12336527319791081,0.1696926419903094,0.3065126397688615,0.00860013704249288,0.1095970507566429,0.15830814931975434,0.3006536814316978,0.009562217961825437
2015-12-29,2020-12-29,2020-12-30,2021-12-30,0.09094760579050672,0.1253207133980404,0.19692877734599168,0.007843296771398368,0.12022288073221493,0.16587759514150346,0.2976758702389273,0.008600919100231157,0.1077142078514173,0.15593569549250824,0.29650265343156057,0.009605624505345373
2015-12-30,2020-12-30,2020-12-31,2021-12-31,0.08692820862244667,0.11991298096057983,0.1872747282508466,0.007836266449954934,0.11703830862046291,0.16132074011583353,0.2884198825980847,0.008592240633154785,0.10473485185563289,0.15249552569871308,0.2789478201336451,0.009385478798510654
2015-12-31,2020-12-31,2021-01-04,2022-01-04,0.09986196890013585,0.13722045709908245,0.21756821099202875,0.007791608592472292,0.12196547452447776,0.1687374285811347,0.3007401722193961,0.008520958199678125,0.10845410757649492,0.15837503945528178,0.2946230485762914,0.009444998665381274
2016-01-04,2021-01-04,2021-01-05,2022-01-05,0.0912910592993775,0.12603508105067796,0.19793330535222553,0.007819225744579987,0.10710307373285116,0.14639523305196323,0.2637921673196604,0.008639930128349911,0.09732254341297082,0.14047135263532093,0.26435773804449325,0.009599202392852538
2016-01-05,2021-01-05,2021-01-06,2022-01-06,0.08210522279368473,0.11326036693048055,0.17538675066217801,0.007779338008648801,0.10107858293115694,0.13769099202753415,0.24611542092576635,0.0086040773074511,0.09065380038561857,0.129893278491221,0.2452104883782061,0.009603005269027767
2016-01-06,2021-01-06,2021-01-07,2022-01-07,0.07865862236191973,0.10836033148790887,0.16721456832193224,0.007769612733421728,0.08917144156801601,0.12158093857215896,0.2144362377437996,0.008611557640020162,0.07791198332369295,0.11168282422326425,0.20497218703505438,0.009519055175427907
2016-01-07,2021-01-07,2021-01-08,2022-01-10,0.07537640250613993,0.10435678446813033,0.1598464555156803,0.007775870123892064,0.08626968021531606,0.11794604987303384,0.20678423407725385,0.008611618762250597,0.07811305242928916,0.11332402536340327,0.2053020494691423,0.009522994130856223
2016-01-08,2021-01-08,2021-01-11,2022-01-11,0.07939199888247792,0.10959229066933894,0.16909228253748682,0.007777867873320257,0.09144124522227064,0.1248792633844037,0.22085206841270158,0.008625553476065343,0.08154726266163716,0.11771208077071632,0.21757176899553404,0.009640339730656346
2016-01-11,2021-01-11,2021-01-12,2022-01-12,0.0789502568414432,0.10897700212602862,0.16806730349064627,0.00777747462171725,0.09142407124318208,0.1248557030596501,0.2208061067811349,0.00862554613894283,0.08014959968875641,0.11548336801768333,0.2144398460016111,0.00961992654294593
2016-01-12,2021-01-12,2021-01-13,2022-01-13,0.07653057163045261,0.10618602412233692,0.1626875020318543,0.00778495563566936,0.08773478126546527,0.12012924420886688,0.21170497408494732,0.008651137782009178,0.07540908584078855,0.1087988762015287,0.198215573964576,0.009505732864278733
